,date,start_time,end_time,class_type,class_name,professor_name,grade,label,class_code,major
0,월,9:00,10:15,전공필수(04),Critical Reading and Writing 2,Todd Christopher Mcgowan,,ELC,ELC204-00,"영미어문전공, 영미문화전공"
1,수,9:00,10:15,전공필수(04),Critical Reading and Writing 2,Todd Christopher Mcgowan,,ELC,ELC204-00,"영미어문전공, 영미문화전공"
2,화,9:00,10:15,전공필수(04),Critical Reading and Writing 2,Todd Christopher Mcgowan,,ELC,ELC204-01,"영미어문전공, 영미문화전공"
3,목,9:00,10:15,전공필수(04),Critical Reading and Writing 2,Todd Christopher Mcgowan,,ELC,ELC204-01,"영미어문전공, 영미문화전공"
4,화,12:00,13:15,전공필수(04),Speech and Discussion 2,Peggy Cho,,ELC,ELC203-00,"영미어문전공, 영미문화전공"
5,목,12:00,13:15,전공필수(04),Speech and Discussion 2,Peggy Cho,,ELC,ELC203-00,"영미어문전공, 영미문화전공"
6,금,13:30,16:15,전공필수(04),Speech and Discussion 2,Peggy Cho,,ELC,ELC203-01,"영미어문전공, 영미문화전공"
7,금,9:00,11:45,전공필수(04),문화연구입문,심효원,,ELC,ELC202-00,"영미어문전공, 영미문화전공"
8,화,9:00,10:15,전공필수(04),영문학입문,김상욱,,ELC,ELC201-00,"영미어문전공, 영미문화전공"
9,목,9:00,10:15,전공필수(04),영문학입문,김상욱,,ELC,ELC201-00,"영미어문전공, 영미문화전공"
10,월,9:00,10:15,전공필수(04),영어학입문,윤재학,,ELC,ELC205-00,"영미어문전공, 영미문화전공"
11,수,9:00,10:15,전공필수(04),영어학입문,윤재학,,ELC,ELC205-00,"영미어문전공, 영미문화전공"
12,화,9:00,10:15,전공필수(04),영어학입문,이한규,,ELC,ELC205-01,"영미어문전공, 영미문화전공"
13,목,9:00,10:15,전공필수(04),영어학입문,이한규,,ELC,ELC205-01,"영미어문전공, 영미문화전공"
14,월,15:00,16:15,전공선택(05),Critical Reading and Writing 1,Todd Christopher Mcgowan,,ELC,ELC103-00,"영미어문전공, 영미문화전공"
15,수,15:00,16:15,전공선택(05),Critical Reading and Writing 1,Todd Christopher Mcgowan,,ELC,ELC103-00,"영미어문전공, 영미문화전공"
16,화,13:30,14:45,전공선택(05),Critical Reading and Writing 1,Todd Christopher Mcgowan,,ELC,ELC103-01,"영미어문전공, 영미문화전공"
17,목,13:30,14:45,전공선택(05),Critical Reading and Writing 1,Todd Christopher Mcgowan,,ELC,ELC103-01,"영미어문전공, 영미문화전공"
18,월,13:30,14:45,전공선택(05),Speech and Discussion 1,Todd Christopher Mcgowan,,ELC,ELC104-00,"영미어문전공, 영미문화전공"
19,수,13:30,14:45,전공선택(05),Speech and Discussion 1,Todd Christopher Mcgowan,,ELC,ELC104-00,"영미어문전공, 영미문화전공"
20,화,10:30,11:45,전공선택(05),Speech and Discussion 1,Peggy Cho,,ELC,ELC104-01,"영미어문전공, 영미문화전공"
21,목,10:30,11:45,전공선택(05),Speech and Discussion 1,Peggy Cho,,ELC,ELC104-01,"영미어문전공, 영미문화전공"
22,금,9:00,11:45,전공선택(05),비즈니스커뮤니케이션2,Peggy Cho,,ELC,ELC481-00,"영미어문전공, 영미문화전공"
23,화,10:30,11:45,전공선택(05),언어와사회,이한규,,ELC,ELC311-00,"영미어문전공, 영미문화전공"
24,목,10:25,11:45,전공선택(05),언어와사회,이한규,,ELC,ELC311-00,"영미어문전공, 영미문화전공"
25,월,16:30,17:45,전공기초(11),미국역사와문화,신명아,,ELC,ELC106-00,"영미어문전공, 영미문화전공"
26,수,16:30,17:45,전공기초(11),미국역사와문화,신명아,,ELC,ELC106-00,"영미어문전공, 영미문화전공"
27,화,16:30,17:45,전공기초(11),비즈니스커뮤니케이션1,최종갑,,ELC,ELC381-00,"영미어문전공, 영미문화전공"
28,목,16:30,17:45,전공기초(11),비즈니스커뮤니케이션1,최종갑,,ELC,ELC381-00,"영미어문전공, 영미문화전공"
29,금,13:30,16:15,전공기초(11),실용영문법,강희연,,ELC,ELC101-00,"영미어문전공, 영미문화전공"
30,월,10:30,11:45,전공기초(11),영국역사와문화,김상욱,,ELC,ELC105-00,"영미어문전공, 영미문화전공"
31,수,10:30,11:45,전공기초(11),영국역사와문화,김상욱,,ELC,ELC105-00,"영미어문전공, 영미문화전공"
32,월,12:00,13:15,전공선택(05),SF와판타지,신명아,,ELC,ELC337-00,"영미어문전공, 영미문화전공"
33,수,12:00,13:15,전공선택(05),SF와판타지,신명아,,ELC,ELC337-00,"영미어문전공, 영미문화전공"
